project_id,git_url,repo_name,owner_repo,repo_path,size,Name,Bytes,CodeBytes,Lines,Code,Comment,Blank,Complexity,Count,WeightedComplexity,Files,others,acl,androidlog,jul,log4j,log4j2,logback,slf4j,is_general,general_lus
1903586,https://api.github.com/repos/AKSW/AutoSPARQL,AutoSPARQL,AKSW/AutoSPARQL,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/AKSW_AutoSPARQL.tar.gz,medium,Java,1634097,0,52539,34899,10647,6993,0,337,0,[],edu.stanford.nlp.util.logging.redwoodconfiguration;org.eclipse.jetty.util.log.log,False,False,True,True,False,False,True,True,"['jul', 'log4j', 'slf4j']"
11838677,https://api.github.com/repos/liferay/liferay-screens,liferay-screens,liferay/liferay-screens,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/liferay_liferay-screens.tar.gz,medium,Java,1793932,0,53012,36305,6468,10239,0,553,0,[],com.liferay.mobile.screens.util.liferaylogger;org.apache.cordova.log,False,True,False,False,False,False,False,True,['androidlog']
6235639,https://api.github.com/repos/FabioZumbi12/RedProtect,redProtect,FabioZumbi12/RedProtect,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/FabioZumbi12_RedProtect.tar.gz,medium,Java,2246477,0,46583,33290,8057,5236,0,231,0,[],br.net.fabiozumbi12.redprotect.bukkit.helpers.redprotectlogger;br.net.fabiozumbi12.redprotect.sponge.helpers.redprotectlogger,False,False,True,False,False,False,False,True,['jul']
42353084,https://api.github.com/repos/boredream/DesignResCollection,DesignResCollection,boredream/DesignResCollection,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/boredream_DesignResCollection.tar.gz,medium,Java,1080905,0,34829,22871,5930,6028,0,380,0,[],com.squareup.okhttp.logging.httplogginginterceptor,False,True,False,False,False,False,False,True,['androidlog']
20272063,https://api.github.com/repos/google/caliper,caliper,google/caliper,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/google_caliper.tar.gz,medium,Java,856684,0,25582,15984,6496,3102,0,270,0,[],com.google.caliper.runner.target.vmprocess.logger,False,True,True,False,False,False,False,True,"['androidlog', 'jul']"
1375703,https://api.github.com/repos/membrane/service-proxy,service-proxy,membrane/service-proxy,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/membrane_service-proxy.tar.gz,medium,Java,2920816,0,88595,58913,15176,14506,0,775,0,[],com.predic8.membrane.osgi.logger.membraneloglistener;org.osgi.service.log.logservice,True,False,False,True,False,False,True,True,"['acl', 'log4j', 'slf4j']"
13610554,https://api.github.com/repos/opengeospatial/geoapi,geoapi,opengeospatial/geoapi,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/opengeospatial_geoapi.tar.gz,medium,Java,6960869,0,161981,51668,99833,10480,0,1007,0,[],,False,False,True,False,False,False,False,True,['jul']
27395438,https://api.github.com/repos/pedrovgs/AndroidGameBoyEmulator,AndroidGameBoyEmulator,pedrovgs/AndroidGameBoyEmulator,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/pedrovgs_AndroidGameBoyEmulator.tar.gz,medium,Java,444453,0,12327,6809,3296,2222,0,214,0,[],,False,True,False,False,False,False,False,True,['androidlog']
66037096,https://api.github.com/repos/ItsCalebJones/SpaceLaunchNow-Android,SpaceLaunchNow-Android,ItsCalebJones/SpaceLaunchNow-Android,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/ItsCalebJones_SpaceLaunchNow-Android.tar.gz,medium,Java,1470565,0,40344,32241,1740,6363,0,307,0,[],com.twitter.sdk.android.core.defaultlogger;timber.log.timber,False,True,False,False,False,False,False,True,"['androidlog', 'timber.log.timber']"
30871083,https://api.github.com/repos/McJty/RFToolsDimensions,RFToolsDimensions,McJty/RFToolsDimensions,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/McJty_RFToolsDimensions.tar.gz,medium,Java,1522333,0,35913,30664,1124,4125,0,244,0,[],mcjty.lib.varia.logging,False,False,False,False,True,False,False,True,['log4j2']
17861489,https://api.github.com/repos/loklak/loklak_server,loklak_server,loklak/loklak_server,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/loklak_loklak_server.tar.gz,medium,Java,1986546,0,50879,34121,10944,5814,0,250,0,[],org.elasticsearch.common.logging.esloggerfactory,False,False,True,False,True,False,True,True,"['jul', 'log4j2', 'slf4j']"
10083,https://api.github.com/repos/exoplatform/platform,platform,exoplatform/platform,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/exoplatform_platform.tar.gz,medium,Java,1314902,0,32867,24075,4248,4544,0,225,0,[],org.exoplatform.services.log.exologger;org.exoplatform.services.log.log;org.gatein.common.logging.logger;org.gatein.common.logging.loggerfactory,False,False,True,False,False,False,False,True,['jul']
61424569,https://api.github.com/repos/Azure/azure-service-bus-java,azure-service-bus-java,Azure/azure-service-bus-java,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Azure_azure-service-bus-java.tar.gz,medium,Java,857146,0,21148,15286,3244,2618,0,163,0,[],,False,False,False,False,False,False,True,True,['slf4j']
21652246,https://api.github.com/repos/sunlet/jplugin,jplugin,sunlet/jplugin,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/sunlet_jplugin.tar.gz,medium,Java,1979455,0,66707,43855,12609,10243,0,789,0,[],net.jplugin.core.kernel.api.istartlogger;net.jplugin.core.kernel.impl.startuploggerimpl;net.jplugin.core.log.api.ilogservice;net.jplugin.core.log.api.logfactory;net.jplugin.core.log.api.logger;net.jplugin.core.log.api.reflogger;net.jplugin.core.log.impl.helper.formattingtuple;net.jplugin.core.log.impl.helper.messageformatter;net.jplugin.core.log.impl.logannoattrhandler;net.jplugin.core.log.impl.logserviceimpl;net.jplugin.core.log.impl.logserviceimpl4compatible;net.jplugin.org.apache.log.contextmap;net.jplugin.org.apache.log.erroraware;net.jplugin.org.apache.log.errorhandler;net.jplugin.org.apache.log.format.formatter;net.jplugin.org.apache.log.format.patternformatter;net.jplugin.org.apache.log.hierarchy;net.jplugin.org.apache.log.logevent;net.jplugin.org.apache.log.logger;net.jplugin.org.apache.log.logtarget;net.jplugin.org.apache.log.output.abstractoutputtarget;net.jplugin.org.apache.log.output.abstracttarget;net.jplugin.org.apache.log.priority;net.jplugin.org.apache.util.loggerlistener,False,False,True,False,False,False,False,True,['jul']
20411146,https://api.github.com/repos/minio/minio-java,minio-java,minio/minio-java,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/minio_minio-java.tar.gz,medium,Java,782332,0,21051,12689,5996,2366,0,157,0,[],,False,False,True,False,False,False,False,True,['jul']
