project_id,git_url,repo_name,owner_repo,repo_path,size,Name,Bytes,CodeBytes,Lines,Code,Comment,Blank,Complexity,Count,WeightedComplexity,Files,others,acl,androidlog,jul,log4j,log4j2,logback,slf4j,is_general,general_lus
4243188,https://api.github.com/repos/commonsguy/cwac-camera,cwac-camera,commonsguy/cwac-camera,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/commonsguy_cwac-camera.tar.gz,small,Java,344004,0,10441,6587,2689,1165,0,40,0,[],,False,True,False,False,False,False,False,True,['androidlog']
15757604,https://api.github.com/repos/SpongePowered/Cookbook,Cookbook,SpongePowered/Cookbook,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/SpongePowered_Cookbook.tar.gz,small,Java,145603,0,3267,2227,639,401,0,30,0,[],,False,False,False,False,False,False,True,True,['slf4j']
53183521,https://api.github.com/repos/flowable/flowable-examples,flowable-examples,flowable/flowable-examples,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/flowable_flowable-examples.tar.gz,small,Java,250413,0,6346,4179,1054,1113,0,87,0,[],,False,False,False,False,False,False,True,True,['slf4j']
43266685,https://api.github.com/repos/miguelbcr/RxGpsService,RxGpsService,miguelbcr/RxGpsService,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/miguelbcr_RxGpsService.tar.gz,small,Java,95995,0,2803,1928,437,438,0,32,0,[],,False,True,False,False,False,False,False,True,['androidlog']
83527183,https://api.github.com/repos/vvsuperman/coolmq,coolmq,vvsuperman/coolmq,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/vvsuperman_coolmq.tar.gz,small,Java,43478,0,1284,743,307,234,0,24,0,[],,False,False,False,False,False,False,True,True,['slf4j']
1917353,https://api.github.com/repos/kefirfromperm/kefirbb,kefirbb,kefirfromperm/kefirbb,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/kefirfromperm_kefirbb.tar.gz,small,Java,307926,0,10220,6477,2398,1345,0,123,0,[],,False,False,False,False,False,False,True,True,['slf4j']
6662941,https://api.github.com/repos/leifeld/dna,dna,leifeld/dna,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/leifeld_dna.tar.gz,small,Java,846624,0,22721,17570,3108,2043,0,59,0,[],,False,False,True,False,False,False,False,True,['jul']
9082581,https://api.github.com/repos/dkharrat/NexusData,NexusData,dkharrat/NexusData,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/dkharrat_NexusData.tar.gz,small,Java,337907,0,9556,6455,1376,1725,0,99,0,[],,False,False,False,False,False,True,True,True,"['logback', 'slf4j']"
6337873,https://api.github.com/repos/yDelouis/selfoss-android,selfoss-android,yDelouis/selfoss-android,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/yDelouis_selfoss-android.tar.gz,small,Java,170697,0,6187,5118,7,1062,0,55,0,[],,False,True,False,False,False,False,False,True,['androidlog']
43275705,https://api.github.com/repos/Othershe/NiceRead,NiceRead,Othershe/NiceRead,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Othershe_NiceRead.tar.gz,small,Java,101267,0,3586,2550,425,611,0,64,0,[],okhttp3.logging.httplogginginterceptor,False,True,False,False,False,False,False,True,['androidlog']
