project_id,git_url,repo_name,owner_repo,repo_path,size_mb
10016721,https://api.github.com/repos/apache/stratos,stratos,apache/stratos,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_stratos.tar.gz,115.306
10021446,https://api.github.com/repos/ngageoint/geowave,geowave,ngageoint/geowave,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/ngageoint_geowave.tar.gz,967.637
100722,https://api.github.com/repos/biojava/biojava,biojava,biojava/biojava,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/biojava_biojava.tar.gz,145.636
100788,https://api.github.com/repos/bbossgroups/bboss,bbossgroups-3.5,bbossgroups/bboss,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/bbossgroups_bboss.tar.gz,634.239
1010222,https://api.github.com/repos/apache/axis2-java,axis2-java,apache/axis2-java,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_axis2-java.tar.gz,120.074
101261,https://api.github.com/repos/i2p/i2p.i2p,i2p.i2p,i2p/i2p.i2p,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/i2p_i2p.i2p.tar.gz,466.044
1012906,https://api.github.com/repos/comunes/kune,kune,comunes/kune,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/comunes_kune.tar.gz,153.501
10194265,https://api.github.com/repos/ReikaKalseki/ChromatiCraft,ChromatiCraft,ReikaKalseki/ChromatiCraft,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/ReikaKalseki_ChromatiCraft.tar.gz,649.545
102527401,https://api.github.com/repos/BeelGroup/Docear-Desktop,Docear-Desktop,BeelGroup/Docear-Desktop,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/BeelGroup_Docear-Desktop.tar.gz,290.229
10269,https://api.github.com/repos/eucalyptus/eucalyptus,eucalyptus,eucalyptus/eucalyptus,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/eucalyptus_eucalyptus.tar.gz,157.875
1029082,https://api.github.com/repos/picketlink/picketlink,picketlink,picketlink/picketlink,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/picketlink_picketlink.tar.gz,54.0083
103160016,https://api.github.com/repos/apache/incubator-druid,incubator-druid,apache/incubator-druid,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_incubator-druid.tar.gz,267.026
10366717,https://api.github.com/repos/kshoji/JFugue-for-Android,JFugue-for-Android,kshoji/JFugue-for-Android,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/kshoji_JFugue-for-Android.tar.gz,28.8305
10432015,https://api.github.com/repos/Talend/tbd-studio-se,tbd-studio-se,Talend/tbd-studio-se,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Talend_tbd-studio-se.tar.gz,1853.42
10480097,https://api.github.com/repos/0xdata/h2o-dev,h2o-dev,0xdata/h2o-dev,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/0xdata_h2o-dev.tar.gz,580.586
10505039,https://api.github.com/repos/OpenClinica/OpenClinica,OpenClinica,OpenClinica/OpenClinica,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/OpenClinica_OpenClinica.tar.gz,105.425
10541978,https://api.github.com/repos/wandora-team/wandora,wandora,wandora-team/wandora,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/wandora-team_wandora.tar.gz,544.692
10542616,https://api.github.com/repos/consulo/consulo-csharp,consulo-csharp,consulo/consulo-csharp,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/consulo_consulo-csharp.tar.gz,18.6589
10550988,https://api.github.com/repos/neuroph/neuroph,master,neuroph/neuroph,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/neuroph_neuroph.tar.gz,423.144
10564118,https://api.github.com/repos/wildfly/wildfly-core,wildfly-core,wildfly/wildfly-core,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/wildfly_wildfly-core.tar.gz,135.45
105747899,https://api.github.com/repos/dynamicreports/dynamicreports,dynamicreports,dynamicreports/dynamicreports,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/dynamicreports_dynamicreports.tar.gz,15.331
10657,https://api.github.com/repos/mifos/head,head,mifos/head,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/mifos_head.tar.gz,677.662
107595,https://api.github.com/repos/platformlayer/platformlayer,platformlayer,platformlayer/platformlayer,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/platformlayer_platformlayer.tar.gz,10.9031
10793559,https://api.github.com/repos/andreasgal/j2me.js,j2me.js,andreasgal/j2me.js,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/andreasgal_j2me.js.tar.gz,48.352
10799146,https://api.github.com/repos/Blazebit/blaze-persistence,blaze-persistence,Blazebit/blaze-persistence,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Blazebit_blaze-persistence.tar.gz,46.787
10865823,https://api.github.com/repos/Internet2/grouper,grouper,Internet2/grouper,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Internet2_grouper.tar.gz,2929.09
10882164,https://api.github.com/repos/sequenceiq/cloudbreak,cloudbreak,sequenceiq/cloudbreak,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/sequenceiq_cloudbreak.tar.gz,65.7262
109170106,https://api.github.com/repos/oracle/helidon,helidon,oracle/helidon,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/oracle_helidon.tar.gz,34.7913
