project_id,git_url,repo_name,owner_repo,repo_path,size_mb
10131764,https://api.github.com/repos/apache/incubator-flink,incubator-flink,apache/incubator-flink,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_incubator-flink.tar.gz,403.617
10245350,https://api.github.com/repos/IMS-MAXIMS/openMAXIMS,openMAXIMS,IMS-MAXIMS/openMAXIMS,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/IMS-MAXIMS_openMAXIMS.tar.gz,1658.3
10435619,https://api.github.com/repos/Talend/tcommon-studio-se,tcommon-studio-se,Talend/tcommon-studio-se,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Talend_tcommon-studio-se.tar.gz,1086.48
10475417,https://api.github.com/repos/jamesagnew/hapi-fhir,hapi-fhir,jamesagnew/hapi-fhir,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/jamesagnew_hapi-fhir.tar.gz,1329.46
106688106,https://api.github.com/repos/Project-Skara/jdk,jdk,Project-Skara/jdk,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Project-Skara_jdk.tar.gz,
10767720,https://api.github.com/repos/Geomatys/geotoolkit,geotoolkit,Geomatys/geotoolkit,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Geomatys_geotoolkit.tar.gz,170.361
108146325,https://api.github.com/repos/alipay/alipay-sdk-java-all,alipay-sdk-java-all,alipay/alipay-sdk-java-all,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/alipay_alipay-sdk-java-all.tar.gz,70.7614
109070,https://api.github.com/repos/Teiid-Designer/teiid-designer,teiid-designer,Teiid-Designer/teiid-designer,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Teiid-Designer_teiid-designer.tar.gz,679.512
112280422,https://api.github.com/repos/kangjianwei/OpenJDK-11,OpenJDK-11,kangjianwei/OpenJDK-11,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/kangjianwei_OpenJDK-11.tar.gz,265.937
11464591,https://api.github.com/repos/OpenRock/OpenAM,OpenAM,OpenRock/OpenAM,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/OpenRock_OpenAM.tar.gz,647.018
