project_id,git_url,repo_name,owner_repo,repo_path,size,Name,Bytes,CodeBytes,Lines,Code,Comment,Blank,Complexity,Count,WeightedComplexity,Files
10131764,https://api.github.com/repos/apache/incubator-flink,incubator-flink,apache/incubator-flink,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_incubator-flink.tar.gz,vlarge,Java,54668052,0,1545255,935980,367291,241984,0,9341,0,[]
10245350,https://api.github.com/repos/IMS-MAXIMS/openMAXIMS,openMAXIMS,IMS-MAXIMS/openMAXIMS,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/IMS-MAXIMS_openMAXIMS.tar.gz,vlarge,Java,733978267,0,17576080,13779256,2551684,1245140,0,70129,0,[]
10435619,https://api.github.com/repos/Talend/tcommon-studio-se,tcommon-studio-se,Talend/tcommon-studio-se,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Talend_tcommon-studio-se.tar.gz,vlarge,Java,63421547,0,1734144,833218,716289,184637,0,6446,0,[]
10475417,https://api.github.com/repos/jamesagnew/hapi-fhir,hapi-fhir,jamesagnew/hapi-fhir,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/jamesagnew_hapi-fhir.tar.gz,vlarge,Java,19577573,0,530295,370181,71159,88955,0,2701,0,[]
10767720,https://api.github.com/repos/Geomatys/geotoolkit,geotoolkit,Geomatys/geotoolkit,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Geomatys_geotoolkit.tar.gz,vlarge,Java,50737947,0,1479966,702506,624605,152855,0,8060,0,[]
108146325,https://api.github.com/repos/alipay/alipay-sdk-java-all,alipay-sdk-java-all,alipay/alipay-sdk-java-all,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/alipay_alipay-sdk-java-all.tar.gz,vlarge,Java,23398811,0,1013412,612797,188801,211814,0,10671,0,[]
109070,https://api.github.com/repos/Teiid-Designer/teiid-designer,teiid-designer,Teiid-Designer/teiid-designer,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Teiid-Designer_teiid-designer.tar.gz,vlarge,Java,52676960,0,1410684,848083,379958,182643,0,6240,0,[]
112280422,https://api.github.com/repos/kangjianwei/OpenJDK-11,OpenJDK-11,kangjianwei/OpenJDK-11,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/kangjianwei_OpenJDK-11.tar.gz,vlarge,Java,211233679,0,5189222,2889773,1835406,464043,0,16696,0,[]
11464591,https://api.github.com/repos/OpenRock/OpenAM,OpenAM,OpenRock/OpenAM,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/OpenRock_OpenAM.tar.gz,vlarge,Java,79698418,0,1853252,1178742,491621,182889,0,8822,0,[]
11467439,https://api.github.com/repos/Unidata/awips2,awips2,Unidata/awips2,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Unidata_awips2.tar.gz,vlarge,Java,56998783,0,1718382,925600,583304,209478,0,7485,0,[]
11598286,https://api.github.com/repos/Talend/tdi-studio-se,tdi-studio-se,Talend/tdi-studio-se,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/Talend_tdi-studio-se.tar.gz,vlarge,Java,115140516,0,2917225,1591461,957531,368233,0,13527,0,[]
11625575,https://api.github.com/repos/torakiki/pdfsam-v2,pdfsam-v2,torakiki/pdfsam-v2,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/torakiki_pdfsam-v2.tar.gz,vlarge,Java,32550627,0,858156,487346,278964,91846,0,5445,0,[]
116732166,https://api.github.com/repos/corretto/corretto-8,corretto-8,corretto/corretto-8,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/corretto_corretto-8.tar.gz,vlarge,Java,259351441,0,6736791,3672258,2372624,691909,0,31198,0,[]
11782666,https://api.github.com/repos/google/error-prone-javac,error-prone-javac,google/error-prone-javac,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/google_error-prone-javac.tar.gz,vlarge,Java,30381167,0,807721,435875,288616,83230,0,7691,0,[]
11805998,https://api.github.com/repos/payara/Payara,Payara,payara/Payara,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/payara_Payara.tar.gz,vlarge,Java,64751900,0,1669745,829909,637937,201899,0,8143,0,[]
125731236,https://api.github.com/repos/corretto/corretto-11,corretto-11,corretto/corretto-11,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/corretto_corretto-11.tar.gz,vlarge,Java,353802537,0,9169540,5054653,3113073,1001814,0,47646,0,[]
125766,https://api.github.com/repos/openjdk-mirror/jdk7u-jdk,jdk7u-jdk,openjdk-mirror/jdk7u-jdk,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/openjdk-mirror_jdk7u-jdk.tar.gz,vlarge,Java,144181172,0,3628651,1961025,1302419,365207,0,14161,0,[]
12713,https://api.github.com/repos/apache/hive,hive,apache/hive,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_hive.tar.gz,vlarge,Java,73178748,0,1982145,1445286,295658,241201,0,7059,0,[]
127164484,https://api.github.com/repos/kangjianwei/LearningJDK,LearningJDK,kangjianwei/LearningJDK,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/kangjianwei_LearningJDK.tar.gz,vlarge,Java,211233679,0,5189222,2889773,1835406,464043,0,16696,0,[]
133692486,https://api.github.com/repos/apache/netbeans,netbeans,apache/netbeans,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/apache_netbeans.tar.gz,vlarge,Java,294261458,0,7489512,5043527,1557134,888851,0,37392,0,[]
13582966,https://api.github.com/repos/opennetworkinglab/onos,onos,opennetworkinglab/onos,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/opennetworkinglab_onos.tar.gz,vlarge,Java,47874626,0,1316846,770928,379392,166526,0,9141,0,[]
1371250,https://api.github.com/repos/oVirt/ovirt-engine,ovirt-engine,oVirt/ovirt-engine,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/oVirt_ovirt-engine.tar.gz,vlarge,Java,36948310,0,965623,741576,61622,162425,0,8602,0,[]
1377549,https://api.github.com/repos/aws/aws-sdk-java,aws-sdk-java,aws/aws-sdk-java,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/aws_aws-sdk-java.tar.gz,vlarge,Java,437937365,0,11275725,4544918,5370982,1359825,0,66528,0,[]
14054618,https://api.github.com/repos/SpoonLabs/astor,astor,SpoonLabs/astor,/home/local/SAIL/kundi/BACKUP/dataset/GitJavaLoggingRepos/SpoonLabs_astor.tar.gz,vlarge,Java,283605827,0,7495761,4148671,2508566,838524,0,31220,0,[]
